# U, Delta_P
9.115, 0.698558
9.115, 0.748218
9.115, 1.15952
9.0175, 0.973078
9.5525, 1.94021
6.571, 0.587536
5.279, 1.23031
5.922, 2.52988
5.4985, 0.818026
8.765, 0.804713
5.598, 0.765331
5.598, 1.33527
6.444, 0.741928
7.048, 1.6066
6.444, 1.16607
5.107, 0.769523
6.895, 1.35723
6.672, 1.6941
9.397, 1.63781
10.3265, 0.905985
8.775, 1.36348
9.724, 2.12163
9.397, 5.04068
9.872, 5.17548
5.557, 1.59297
5.4355, 1.2263
9.3395, 1.25834
8.889, 2.14501
9.282, 1.07128
9.282, 1.55869
9.335, 0.630898
8.575, 3.48383
4.791, 0.544519
6.445, 0.354379
8.832, 3.64137
7.461, 2.79772
9.076, 4.36852
5.287, 0.827084
6.503, 0.658989
5.209, 0.91806
9.952, 0.570742
9.952, 0.454839
8.736, 0.686373
6.676, 0.535286
6.462, 1.36342
6.742, 1.01555
7.136, 0.686643
8.813, 0.913956
6.742, 2.52684
7.164, 1.39816
6.462, 2.86074
6.742, 3.91225
11.0785, 0.521138
8.37, 1.14009
9.08, 3.4127
5.927, 0.788442
6.9135, 0.755335
6.9135, 0.923435
8.2935, 1.435
6.03, 4.13373
5.004, 0.76998
2.467, 0.797597
6.528, 1.14884
5.557, 1.41317
6.2235, 1.98738
3.856, 1.75852
6.609, 0.788316
7.343, 0.747234
8.513, 1.32463
8.513, 1.15338
8.9285, 1.86328
8.513, 2.99367
5.4865, 2.06457
6.87, 1.24183
5.678, 4.88062
6.115, 2.48375
5.5885, 0.561851
5.5355, 1.00339
5.044, 1.20413
4.813, 0.698591
9.316, 3.1434
9.106, 0.735731
9.8695, 1.75285
9.151, 0.637466
6.011, 0.65177
6.994, 1.21091
7.531, 2.88602
5.831, 1.10168
6.3395, 1.38596
6.7965, 0.761407
5.2925, 1.06906
5.2925, 1.47505
4.2195, 1.17147
5.435, 1.83654
4.975, 2.7789
5.4385, 0.675608
6.16, 1.20922
1.803, 0.357877
4.412, 0.975351
4.412, 1.81325
6.178, 2.06909
5.7595, 0.395025
5.993, 1.13345
5.993, 1.10278
5.7595, 0.688735
6.0835, 2.8175
5.5345, 1.63823
5.462, 0.509127
3.2135, 0.922568
3.2135, 0.825356
4.65, 0.914052
5.462, 1.19803
3.9745, 0.901878
5.435, 0.620441
4.9145, 0.433682
6.3245, 0.872185
5.036, 1.45626
3.771, 3.63181
4.4535, 8.88687
4.612, 0.329099
5.2435, 0.166872
5.8675, 0.749233
4.832, 1.33852
4.365, 0.919564
3.991, 1.55436
4.177, 1.82094
4.0015, 0.813346
5.0145, 0.730613
3.819, 3.83326
3.979, 0.948631
6.0085, 1.08888
4.586, 1.55789
4.586, 2.57403
5.627, 0.576801
4.776, 1.45957
4.7655, 1.94319
4.103, 0.695479
4.4105, 0.877929
4.893, 1.24577
5.663, 1.03477
5.467, 1.36574
4.7385, 1.4964
4.0335, 1.25838
3.896, 0.927672
5.4845, 1.22669
5.4845, 1.63977
3.692, 0.172281
4.0395, 0.587009
5.1885, 0.534714
4.855, 0.632929
4.855, 0.315038
5.4405, 1.67451
5.1885, 1.62002
4.065, 1.15427
4.298, 0.579875
3.9555, 1.92954
4.0255, 1.41956
4.0255, 2.26789
4.514, 1.36197
3.476, 0.805516
3.918, 1.31576
4.6615, 1.04493
5.944, 0.196081
4.4125, 0.767945
3.784, 0.475568
4.378, 0.57401
4.013, 0.624269
3.6525, 0.809967
4.626, 0.84639
6.804, 1.06743
5.982, 0.916798
4.866, 0.713021
5.1385, 1.1597
3.6545, 2.60572
3.8735, 1.10724
3.9435, 0.766795
4.014, 1.11196
5.329, 0.27951
5.329, 0.506925
5.329, 0.436188
4.871, 1.89768
5.085, 1.33236
6.6515, 2.29079
3.477, 1.23884
4.189, 0.853524
4.972, 1.25464
4.855, 2.43888
4.811, 1.08808
5.6525, 1.24609
4.818, 0.786068
4.552, 1.09596
4.7675, 0.440767
5.153, 1.43843
5.2205, 1.57582
5.305, 1.97302
4.576, 0.602706
3.675, 0.733014
3.694, 0.91814
5.207, 1.37115
4.8835, 2.31437
5.249, 1.04935
4.985, 0.72156
4.985, 0.649343
5.249, 1.36637
4.491, 1.43597
4.87, 1.82096
3.4165, 1.3825
5.383, 1.64539
5.7255, 1.94975
6.294, 1.57012
4.711, 1.46437
5.383, 1.80468
3.75, 1.40183
6.1885, 0.533369
5.954, 0.824141
4.4125, 1.28452
5.954, 1.57094
5.685, 3.08096
5.384, 0.796451
7.639, 1.9332
6.961, 1.09001
7.639, 2.13229
5.395, 0.415904
5.186, 0.811648
6.9045, 0.681669
6.4305, 1.08736
6.8615, 1.00042
6.2285, 1.61227
6.4825, 0.71189
6.5485, 3.52301
6.5485, 3.22768
5.737, 0.46108
6.523, 0.754455
6.528, 0.891103
6.196, 0.764413
6.048, 1.16058
6.567, 0.996333
5.7445, 1.18283
5.829, 2.44909
6.434, 0.901081
6.434, 0.859713
5.3015, 0.657038
5.446, 2.24908
6.124, 0.824557
8.0645, 2.50517
6.563, 0.553689
7.605, 1.23594
7.361, 0.866318
7.714, 1.63652
4.772, 0.726332
6.506, 2.38387
6.375, 1.69285
6.2915, 1.80318
6.2915, 2.10322
6.734, 1.1705
7.107, 1.23849
6.527, 4.02053
7.43, 1.2591
6.679, 1.72006
7.43, 4.57172
7.047, 0.633556
8.3475, 1.01765
6.4745, 0.707977
7.925, 4.24182
7.986, 0.640355
7.196, 0.853659
6.755, 0.89236
6.655, 1.0126
7.049, 1.99049
8.0875, 3.73825
6.655, 3.10389
8.0315, 0.931229
7.89, 1.38507
7.0955, 1.96146
6.751, 4.58786
8.126, 0.97977
7.648, 1.09334
8.126, 3.20594
7.9505, 2.32461
6.962, 2.12693
6.2905, 0.997026
9.351, 2.55655
7.003, 1.88607
8.9835, 1.20929
8.725, 1.7568
8.2145, 1.66794
8.9835, 2.00372
9.253, 1.27888
7.7315, 1.83417
8.773, 1.39694
8.403, 3.36149
7.3135, 1.02997
8.2155, 1.45803
7.669, 3.39084
8.1365, 0.926376
8.1365, 2.79248
6.837, 0.646635
6.618, 2.27745
7.288, 1.22216
8.769, 0.698103
8.724, 1.7721
8.5305, 1.78304
7.558, 0.833861
8.2, 1.65168
8.495, 1.08424
8.495, 3.07541
7.6545, 0.92623
7.6, 2.54217
8.644, 1.26486
9.809, 0.701596
10.679, 4.52364
9.9, 1.05415
8.3655, 2.29124
7.683, 1.45785
9.027, 1.26346
7.9385, 1.55546
9.762, 1.99824
9.0015, 1.46909
7.346, 0.593859
10.117, 1.68354
6.601, 0.538978
8.249, 3.15318
8.051, 0.663966
9.658, 1.22304
7.63, 3.07836
7.752, 0.894095
8.3425, 2.21046
7.921, 0.644536
7.4585, 1.25456
7.2915, 1.17661
7.827, 2.23764
8.934, 0.349452
8.311, 2.14308
9.15, 0.930912
6.418, 0.796747
8.311, 2.14496
9.448, 0.890919
9.841, 1.27122
9.151, 0.914097
11.291, 2.07425
9.151, 2.3281
8.404, 1.96696
7.248, 1.78843
7.34, 0.880679
8.414, 0.421004
7.5575, 0.828356
7.5575, 0.999563
7.34, 0.639258
7.5575, 1.22034
7.8, 1.2688
9.9175, 2.04274
9.032, 0.891046
10.31, 0.315173
9.832, 0.995048
9.832, 2.18179
8.115, 0.886816
10.099, 0.869212
8.786, 0.497717
9.52, 1.86677
9.52, 2.0206
9.1595, 1.39117
9.1595, 2.22594
7.981, 0.244181
7.903, 0.423541
10.386, 0.841081
7.903, 3.89732
10.3645, 1.03464
9.8755, 0.679138
8.149, 0.747883
10.3645, 0.922026
10.5075, 0.791969
10.5075, 0.826103
8.288, 1.1593
9.8795, 0.888472
8.248, 1.23695
10.533, 0.897733
9.8795, 0.95043
9.314, 0.881721
9.314, 1.05111
9.314, 1.44067
8.318, 1.22622
8.034, 3.6339
7.766, 0.761745
9.484, 0.934715
6.1965, 0.599706
8.494, 1.09416
8.664, 1.68956
9.652, 1.00536
9.6905, 1.66132
6.6645, 1.50397
8.686, 1.7208
7.88, 1.47057
10.0895, 1.02587
8.957, 2.06636
9.825, 0.723046
9.825, 0.972481
7.965, 1.20015
9.825, 0.972681
6.0595, 0.752937
10.36, 0.799377
9.457, 1.08591
8.222, 0.825068
10.45, 0.828354
8.31, 0.907273
9.743, 0.564644
8.216, 0.751694
9.9445, 0.764077
7.805, 2.55781
7.964, 0.880183
8.49, 0.867373
7.174, 1.03732
9.693, 0.924053
10.068, 0.642919
10.139, 1.36119
5.907, 0.583459
9.9785, 1.44635
10.139, 2.26759
7.652, 0.710898
8.2065, 1.19444
8.2065, 1.06966
9.336, 1.71736
9.336, 6.97169
7.489, 0.748631
9.497, 0.873608
8.45, 1.16065
9.497, 1.20148
7.344, 0.954827
7.489, 1.34882
11.139, 1.82616
9.497, 1.52766
11.139, 5.35481
8.493, 1.67302
5.773, 1.08287
9.9055, 0.535247
6.918, 0.387564
9.04, 2.3568
8.774, 0.915446
8.429, 0.692102
8.774, 1.78741
10.624, 3.78533
7.624, 0.592408
7.482, 1.5873
10.2785, 3.87055
7.549, 0.614062
8.602, 0.321905
8.775, 0.851924
8.926, 3.17754
8.793, 1.33853
8.8325, 0.996314
8.793, 1.41729
7.289, 0.783824
9.334, 1.26577
7.73, 0.94744
6.8945, 0.675198
7.699, 0.753995
8.426, 1.52283
8.849, 2.26016
9.435, 1.18901
8.239, 0.667218
9.435, 1.27044
6.8515, 0.344951
7.489, 0.607178
9.352, 1.75565
8.493, 0.7486
9.4005, 0.720619
9.4005, 1.19999
8.61, 2.47196
9.244, 2.47429
8.104, 0.817188
9.6355, 1.43943
9.6355, 3.64109
9.467, 0.800789
7.73, 0.767095
9.814, 3.40365
7.517, 5.49744
7.402, 0.628552
8.077, 2.15083
7.896, 0.606579
8.4525, 0.217181
9.648, 1.2677
9.171, 1.22046
7.57, 2.02319
8.175, 1.42418
8.6975, 0.609902
9.543, 0.913378
9.543, 1.46024
9.968, 1.14215
9.893, 0.709207
8.787, 1.11642
8.787, 1.30842
9.1095, 1.21573
10.266, 0.809314
8.456, 1.90181
9.8055, 0.873246
9.302, 1.35448
7.635, 0.881293
10.263, 2.10072
9.488, 1.40596
10.2875, 1.08985
8.257, 1.45235
7.375, 4.38996
7.774, 0.61392
9.2745, 0.394679
9.2745, 1.14576
9.911, 0.751516
9.911, 1.31791
7.581, 0.468002
8.723, 3.77068
11.3485, 1.08299
7.948, 0.930901
10.653, 0.346546
9.043, 1.14839
9.043, 1.94943
9.652, 3.30189
9.353, 0.688958
9.675, 0.774797
9.675, 1.12654
8.896, 1.39921
10.583, 1.94048
10.358, 2.45354
9.446, 3.10732
8.474, 0.908401
9.035, 2.24974
8.222, 0.8626
8.773, 0.546056
6.597, 0.467445
9.172, 0.728037
9.866, 1.23153
9.0105, 0.7666
10.966, 0.357286
8.7015, 0.67881
8.7015, 0.558839
7.248, 0.897486
9.244, 0.79208
7.248, 1.20449
11.463, 0.526878
10.22, 0.635992
5.826, 0.966828
10.791, 0.502246
9.0735, 0.868913
11.453, 0.657923
11.453, 0.804588
9.6165, 0.652258
6.016, 0.612023
11.453, 0.646885
9.7395, 3.037
11.739, 2.13079
9.7395, 3.94536
9.1635, 1.18841
8.825, 1.10987
9.287, 0.980751
10.8195, 1.05799
8.8535, 1.03724
10.8195, 1.54194
10.495, 1.52467
9.223, 2.1116
8.361, 0.20061
9.5045, 0.972223
10, 0.851014
8.4965, 1.22243
10, 0.939775
8.4965, 1.38186
9.884, 1.32989
8.891, 1.57531
10.219, 1.04549
8.0445, 0.562966
10.484, 1.01564
10.683, 2.25044
9.623, 1.01433
9.623, 1.47863
9.623, 1.10063
7.486, 0.744503
11.453, 1.81894
11.453, 2.18372
9.3715, 0.597672
11.367, 0.596461
11.0695, 1.18993
8.985, 1.03926
9.3715, 2.15115
9.3715, 1.69331
10.0825, 0.532252
10.55, 0.465226
9.057, 0.561809
8.1895, 0.47211
7.1155, 0.646393
7.937, 0.995568
10.2, 2.13057
9.904, 1.2675
8.01, 1.46137
7.2165, 1.00183
8.8035, 2.80811
10.208, 0.566266
8.5295, 0.653282
11.1065, 0.610992
5.286, 0.769487
11.1065, 2.25767
7.037, 1.79816
8.038, 0.739182
8.071, 0.902597
10.916, 1.27807
8.038, 1.02087
8.071, 1.29493
8.4415, 0.392609
8.961, 1.60041
9.349, 0.978365
10.9595, 1.89069
7.1615, 0.913433
10.617, 1.61567
10.617, 2.26771
9.17, 1.09437
9.17, 1.69783
8.414, 0.334
10.502, 1.15256
9.7905, 0.811258
9.5445, 2.62395
7.7535, 0.904033
7.7535, 0.903883
10.449, 2.42151
8.0735, 0.837833
9.634, 1.13122
9.594, 1.08137
8.859, 0.275738
11.524, 1.33178
7.547, 0.353765
7.547, 0.492537
9.4745, 0.614353
9.198, 1.13728
7.547, 0.570368
11.27, 6.02135
9.3335, 0.64488
11.423, 0.719088
10.859, 1.2276
9.802, 2.20567
7.803, 0.671509
9.096, 0.485819
7.803, 0.623946
10.2455, 0.738645
11.421, 0.91019
11.421, 0.573676
6.8695, 1.76701
11.2635, 0.681051
9.3425, 0.645774
6.738, 0.863061
9.9645, 3.85682
10.072, 0.712818
6.095, 1.25026
6.636, 1.16474
8.4, 0.746462
8.4, 1.51562
10.4415, 1.45271
8.4, 2.96051
11.1245, 0.986927
9.129, 1.20838
10.664, 2.44526
8.2675, 0.964122
8.767, 1.20257
10.166, 1.39741
11.001, 0.646011
9.217, 0.959508
11.001, 1.26473
9.4085, 0.792764
8.36, 0.572981
11.004, 1.40216
11.004, 1.76708
8.563, 0.798951
11.004, 1.7671
8.36, 0.75033
7.36, 1.56226
8.663, 0.731711
10.623, 0.749243
10.623, 1.54744
8.824, 0.917538
8.824, 2.12324
10.545, 1.86414
7.8125, 0.854008
9.331, 0.755445
10.633, 3.69732
11.8495, 0.905003
5.852, 0.429138
9.7865, 0.820981
9.7865, 1.09385
8.3305, 2.1897
11.537, 0.559829
9.682, 1.305
11.3345, 0.714212
11.3345, 1.36922
8.625, 1.12657
8.638, 2.1006
11.154, 0.689422
9.002, 0.800377
11.0195, 0.805133
8.539, 0.49017
11.671, 0.707038
8.967, 0.913882
11.671, 0.72678
7.276, 0.532363
9.567, 1.26334
8.031, 1.94194
8.031, 3.55743
9.0235, 0.530564
7.797, 0.566575
11.8065, 0.542742
8.806, 0.438597
9.065, 2.00014
7.361, 0.560349
9.7345, 1.56629
9.6205, 1.62976
7.528, 1.45383
8.3505, 0.550086
9.135, 1.46502
11.269, 1.49701
6.5215, 1.02097
7.328, 0.582158
11.12, 1.5941
12.537, 3.63383
8.941, 3.7126
11.03, 0.734109
10.347, 0.574189
11.6875, 0.566384
8.69, 0.701527
9.158, 1.24896
8.172, 1.66587
8.3275, 1.77858
11.5945, 0.37269
9.588, 0.754
8.639, 1.20232
11.699, 0.606902
11.699, 0.690852
11.517, 0.833795
7.4445, 1.43779
9.232, 1.43206
9.2375, 0.997335
12.253, 1.29063
4.995, 0.516088
11.438, 1.43557
9.2375, 0.849354
11.438, 1.78681
7.99, 0.900884
11.1195, 0.76915
9.8525, 1.0376
7.988, 0.60639
5.399, 1.02066
9.2375, 1.04427
8.177, 0.795589
11.6475, 0.578716
11.115, 0.714102
8.177, 3.50571
8.177, 1.95614
9.2685, 0.800144
10.037, 0.778225
9.564, 1.42579
9.2685, 0.811969
7.511, 0.399341
11.5685, 0.945236
7.511, 0.623542
7.779, 0.814443
11.5685, 0.735132
10.5505, 1.93571
9.0725, 2.00222
9.279, 0.863331
9.0725, 2.42595
9.279, 0.463872
9.0725, 1.89202
7.0605, 0.449915
7.883, 0.780717
10.441, 1.3332
8.076, 0.317045
8.923, 0.756209
8.288, 1.06898
9.103, 0.977049
11.441, 0.658883
10.1185, 1.22986
8.795, 1.68189
11.778, 1.49992
11.5605, 4.36346
8.783, 0.45272
10.1065, 0.484794
10.1065, 1.47971
8.332, 2.00419
8.555, 0.799724
12.303, 1.10276
11.9265, 0.773583
8.555, 0.774013
10.501, 0.753392
6.9915, 0.60882
9.471, 0.883265
7.957, 3.93458
12.066, 0.496148
11.775, 0.401118
11.775, 1.07255
11.775, 2.3134
8.2445, 1.3119
9.241, 0.897338
9.241, 1.37356
10.392, 0.665903
9.241, 1.17561
11.983, 1.55377
9.407, 0.421209
10.872, 0.59633
10.0425, 0.851899
9.407, 1.61701
7.5685, 1.75329
9.187, 0.56384
12.111, 0.894105
10.411, 5.15373
9.512, 1.21503
10.8165, 0.778634
8.683, 0.946291
10.8165, 0.425154
10.8165, 1.15397
11.909, 1.6881
11.146, 1.70966
11.146, 2.16836
6.698, 0.324523
9.792, 0.737231
6.698, 0.744359
10.4325, 0.630906
9.653, 1.01655
10.4325, 0.919772
10.969, 1.01889
12.585, 0.815282
9.657, 1.19778
8.016, 1.0879
9.8755, 1.48853
9.3785, 0.677608
11.118, 0.870094
11.139, 0.961356
10.531, 1.66307
12.0675, 1.50513
14.014, 2.65742
11.1525, 2.17017
10.754, 1.34284
11.9075, 1.7009
8.881, 1.06708
10.9965, 0.359042
10.4605, 1.95628
11.617, 1.30695
9.819, 1.76353
10.027, 0.399851
10.111, 0.49963
10.111, 1.60702
9.819, 1.78346
11.029, 1.0536
8.9115, 1.12189
10.19, 2.43244
8.607, 2.00149
9.7685, 4.29606
11.531, 2.08926
8.218, 3.10554
11.56, 0.96089
9.336, 1.28941
8.9525, 1.50252
12.161, 0.721865
10.915, 1.22987
9.541, 1.55348
11.775, 0.346338
10.9125, 2.09001
11.775, 0.486402
12.316, 1.05224
10.9125, 1.95799
9.74, 2.33997
10.354, 1.40253
10.493, 1.11389
8.174, 1.96977
8.01, 3.41118
9.427, 2.61974
8.327, 1.32878
9.477, 1.40673
9.287, 3.13604
10.362, 4.68254
11.404, 1.26839
10.5805, 2.156
9.988, 1.49419
10.418, 0.690572
9.5845, 2.32708
8.281, 0.614454
11.2265, 0.919244
11.4315, 0.405644
10.228, 0.387005
11.381, 0.460643
9.524, 0.908751
8.875, 0.896575
10.899, 1.30272
9.5395, 1.3246
10.9265, 1.82583
9.731, 0.83674
8.6295, 4.21323
8.539, 2.47312
9.1025, 0.831023
8.482, 1.26174
9.1025, 1.29329
8.375, 0.885446
7.014, 2.37748
7.1945, 0.550685
10.241, 1.48844
10.241, 0.725183
10.555, 0.534603
12.0725, 1.04052
9.5065, 0.392347
12.0725, 4.19731
11.308, 1.48794
9.7615, 2.002
8.7245, 0.668163
8.2655, 1.19211
8.2655, 1.19761
8.217, 1.64113
13.696, 0.447548
10.778, 1.78159
7.448, 1.50434
10.778, 3.28736
10.7955, 1.70732
8.0685, 1.18116
9.329, 1.71764
10.483, 1.2882
9.4015, 1.4833
11.553, 1.52006
9.243, 0.874863
11.147, 5.22974
9.3965, 1.03969
11.714, 2.62074
8.305, 1.8645
10.6515, 0.59476
9.9, 0.468782
9.7745, 0.629456
10.999, 1.48194
8.325, 2.25946
8.111, 2.27081
7.8875, 0.545263
8.236, 1.84721
8.459, 2.45409
8.4685, 0.727796
9.599, 0.718308
8.291, 0.994898
8.639, 1.43766
8.187, 1.96617
9.475, 3.34242
8.187, 6.0968
8.693, 0.768264
8.7885, 0.556123
9.6405, 0.722656
10.5255, 1.29074
8.6275, 0.798954
8.811, 1.26231
6.6285, 0.411168
8.369, 1.73784
8.369, 5.93449
9.1445, 1.302
9.1445, 1.80589
8.515, 2.80149
8.615, 0.894753
7.5785, 1.99399
7.438, 8.18645
8.537, 0.651885
8.033, 1.34386
6.4555, 1.13903
9.399, 1.3543
5.795, 2.18351
8.012, 1.94313
8.632, 0.943212
8.17, 1.53223
7.65, 1.54055
7.65, 1.93115
8.796, 0.67402
8.427, 1.08004
7.91, 2.95461
8.51, 0.102614
8.2645, 0.522362
8.51, 1.03604
8.133, 1.10601
8.406, 2.60298
8.101, 0.680669
8.9025, 1.93333
8.406, 1.25377
8.9025, 2.528
7.8735, 2.26923
8.094, 2.41366
5.527, 0.863284
6.974, 1.37605
8.747, 2.60348
6.938, 1.37038
7.194, 0.91205
6.53, 1.34587
7.24, 1.23412
8.131, 1.55982
6.838, 1.8675
7.55, 0.788892
